### FILE 2026학년도 장량초 5학년 1학기 교육과정 연간지도계획.hwpx
## TABLE 11 grid 20x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
4 | 03.23 ~ 03.29 | 금 | 미술 | 2. 이미지를 읽어요 | 이미지가 나타내는 의미 이해하기 -1- | 2/6 | 12 | 
5 | 03.30 ~ 04.05 | 월 | 국어 | 1. 대화를 나누어요 | 대화에서 생략된 내용 짐작하기 -1-,[어울림교육-5]공감 | 8/13 | 52~63 | 
## TABLE 65 grid 19x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
5 | 03.30 ~ 04.05 | 월 | 국어 | 1. 대화를 나누어요 | 대화에서 생략된 내용 짐작하기 -2-,[어울림교육-6]공감 | 9/13 | 52~63 | 
5 | 03.30 ~ 04.05 | 월 | 영어 | 2. Do You Want Some Soup? | 음식을 권하고 답하는 글을 읽고 내용 이해하기 | 4/7 | 30~31 | 
5 | 03.30 ~ 04.05 | 월 | 수학 | 1. 자연수의 혼합 계산 | 하하! 놀이와 만나요 | 10/12 | 20~21 | 
5 | 03.30 ~ 04.05 | 월 | 사회 | 1. 우리나라 국토 여행 | 독도는 옛 자료에 어떻게 기록되어 있을까요 -2- 【독도교육】 | 13/16 | 40~43 | 
5 | 03.30 ~ 04.05 | 월 | 실과 | 2. 동식물과 함께하는 생활 | 동식물 자원은 가치 있고 소중해요. | 1/12 | 22~23 | 
5 | 03.30 ~ 04.05 | 화 | 도덕 | 1. 내 삶의 주인이 되는 나 | 내 삶 스스로 가꾸기 【교통안전-보행자안전】 | 4/4 | 18~21 | 
5 | 03.30 ~ 04.05 | 화 | 과학 | 1. 지층과 화석 | [단원 마무리] 과학으로 보는 세상 | 13/13 | 32~5 | 
5 | 03.30 ~ 04.05 | 화 | 사회 | 1. 우리나라 국토 여행 | 독도를 지키려고 어떤 노력을 해 왔을까요 -1- 【독도교육】 | 14/16 | 44~49 | 
5 | 03.30 ~ 04.05 | 화 | 체육 | 1-1. 몸을 튼튼하게 만드는 건강 체력 | 건강 체력 올림픽 -3- | 12/13 | 20~21 | 
5 | 03.30 ~ 04.05 | 화 | 수학 | 1. 자연수의 혼합 계산 | 와우! 세상과 만나요 | 11/12 | 22~23 | 
5 | 03.30 ~ 04.05 | 화 | 음악 | 1. 덕석몰자 | 자진모리장단의 세를 살려 장구를 연주하고 흥겹게 놀이하기 -1- | 1/2 | 16~17 | 
5 | 03.30 ~ 04.05 | 수 | 국어 | 1. 대화를 나누어요 | 대화에서 생략된 내용 짐작하기 | 10/13 | 52~63 | 
5 | 03.30 ~ 04.05 | 수 | 영어 | 2. Do You Want Some Soup? | 음식을 소개하는 글 읽고 쓰기 -1- | 5/7 | 32~33 | 
5 | 03.30 ~ 04.05 | 수 | 수학 | 1. 자연수의 혼합 계산 | 됐다! 마무리 | 12/12 | 24~26 | 
5 | 03.30 ~ 04.05 | 수 | 체육 | 1-1. 몸을 튼튼하게 만드는 건강 체력 | 일주일 운동 계획 세워 실천하기 【보건교육】 | 13/13 | 22~23 | 
5 | 03.30 ~ 04.05 | 수 | 과학 | 2. 빛의 성질 | [단원 열기] 손전등으로 빛 도장 만들기 | 1/13 | 36~39 | 
5 | 03.30 ~ 04.05 | 목 | 국어 | 1. 대화를 나누어요 | 배운 내용 실천하기 -1- | 11/13 | 64~65 | 
5 | 03.30 ~ 04.05 | 목 | 국어 | 1. 대화를 나누어요 | 배운 내용 실천하기 -2- | 12/13 | 64~65 | 
## TABLE 74 grid 19x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
5 | 03.30 ~ 04.05 | 목 | 영어 | 2. Do You Want Some Soup? | 음식을 소개하는 글 읽고 쓰기 -2- | 6/7 | 32~33 | 
5 | 03.30 ~ 04.05 | 목 | 사회 | 1. 우리나라 국토 여행 | 독도를 지키려고 어떤 노력을 해 왔을까요 -2- 【독도교육】 | 15/16 | 44~49 | 
5 | 03.30 ~ 04.05 | 목 | 수학 | 2. 약수와 배수 | 단원 도입 | 1/13 | 27~29 | 
5 | 03.30 ~ 04.05 | 목 | 음악 | 1. 덕석몰자 | 자진모리장단의 세를 살려 장구를 연주하고 흥겹게 놀이하기 -2- | 2/2 | 16~17 | 
5 | 03.30 ~ 04.05 | 금 | 과학 | 2. 빛의 성질 | 물체를 보기 위해서 무엇이 필요할까요 -1- | 2/13 | 40~43 | 
5 | 03.30 ~ 04.05 | 금 | 사회 | 1. 우리나라 국토 여행 | 단원 마무리 | 16/16 | 50~53 | 
